[2025-12-19 02:08:42] MouseMove: dx=-8, dy=-10
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-6
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-5
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-6
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-7, dy=-17
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-12
[2025-12-19 02:08:42] MouseMove: dx=-6, dy=-13
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-10
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=-5, dy=-13
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-11
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-7
[2025-12-19 02:08:42] MouseMove: dx=-6, dy=-11
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=-6, dy=-13
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-14
[2025-12-19 02:08:42] MouseMove: dx=-4, dy=-12
[2025-12-19 02:08:42] MouseMove: dx=-6, dy=-14
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-10
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-12
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-10
[2025-12-19 02:08:42] MouseMove: dx=-3, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=-1, dy=-12
[2025-12-19 02:08:42] MouseMove: dx=-1, dy=-7
[2025-12-19 02:08:42] MouseMove: dx=-1, dy=-9
[2025-12-19 02:08:42] MouseMove: dx=0, dy=-5
[2025-12-19 02:08:42] MouseMove: dx=-2, dy=-8
[2025-12-19 02:08:42] MouseMove: dx=0, dy=-5
